Store_ID,Name,State,City,County_Name,Zip,Address,Interstate_or_Highway,Latitude,Longitude,Parking_Spaces,Diesel_Lanes,Bulk_DEF_Lanes,Unleaded,Midgrade,Premium,Diesel,Biodiesel,Bulk_Propane,CNG,EV_Level2,EV_Level3,EV_Tesla_Level2,EV_Tesla_Level3,Showers,Laundry,Overnight_Parking,Private_Showers,Tire_Care,Dog_Park,RF_Service,Restaurant,ATM,Propane_Tank_Exchange,RV_Dump,Light_Mechanical,All_Major_Credit_Cards,Apple_Pay,Samsung_Pay,Cash_Accepted,EBT_SNAP,Comdata,Fleet_One,ComCheck,Love_Express,Voyager,T-Chek,Debit,Android_Pay,My_Love_Rewards,Loves_Gift Card,NRI_ID,NRI_Value_Composite,NRI_Score_Composite,NRI_Rating_Composite,NRI_State_Percentile_Composite,Population_2020,Building_Value,Agriculture_Value,Area_sq_mi,State_FIPS_Code,County_FIPS_Code,State_County_FIPS_Code,TARGET_FID,OBJECTID,JOIN_FID,Shape_Length,Shape_Area
280,Loves,AZ,Buckeye,Maricopa,85326,1610 S Miller Rd,I-10 / 114,33.431284,-112.591725,48,6,N,3.199,3.549,3.849,3.399,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Chester's,Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C04013,181115759.3,97.327394,Relatively High,100,4418836,7.61413E+11,1386839832,9319.141753,4,13,4013,236,236,0,979637.0339,34338308581
612,Loves,MO,Bridgeton,St. Louis,63044,13945 Missouri Bottom Road,Hwy 370 / 9,38.793405,-90.448305,94,7,N,2.899,3.299,3.599,3.189,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Subway,Wendy's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C29189,299182703.3,98.53643,Relatively High,100,1003734,2.35118E+11,23542269,528.451053,29,189,29189,241,241,0,284265.5976,2224346660
659,Loves,AZ,Tolleson,Maricopa,85353,8313 Roosevelt St,I-10 / 135,33.457995,-112.23908,89,8,N,2.999,3.349,3.649,3.399,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Carl's Jr.,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C04013,181115759.3,97.327394,Relatively High,100,4418836,7.61413E+11,1386839832,9319.141753,4,13,4013,242,242,0,979637.0339,34338308581
328,Loves,AZ,Chandler ,Maricopa,85226,7001 W. Sundust Rd.,I-10 / 162,33.279875,-111.962298,95,7,N,3.099,3.449,3.749,3.589,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,"Arby's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C04013,181115759.3,97.327394,Relatively High,100,4418836,7.61413E+11,1386839832,9319.141753,4,13,4013,252,252,0,979637.0339,34338308581
296,Loves,AZ,Gila Bend,Maricopa,85337,820 W Pima St,I-8 / 115,32.94432,-112.733253,41,4,N,3.099,3.449,3.749,3.889,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,"Taco Bell,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C04013,181115759.3,97.327394,Relatively High,100,4418836,7.61413E+11,1386839832,9319.141753,4,13,4013,253,253,0,979637.0339,34338308581
205,Loves,OK,Oklahoma City,Oklahoma,73131,12225 N I-35,I-35 / 137,35.594066,-97.436685,18,5,N,2.399,2.799,3.099,2.989,N,N,Y,N,N,N,N,,N,Y,Y,N,Y,Y,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos",Y,Y,N,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C40109,175227007,97.263761,Relatively High,100,795336,1.28974E+11,24599262,725.694922,40,109,40109,323,323,0,213911.0636,2817257527
211,Loves,OK,Oklahoma City,Oklahoma,73149,845 SE 89th St,I-35 / 120,35.377871,-97.495873,14,6,N,2.359,2.759,3.059,2.989,N,N,N,N,N,N,N,,N,Y,N,N,N,Y,Subway,Y,Y,N,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C40109,175227007,97.263761,Relatively High,100,795336,1.28974E+11,24599262,725.694922,40,109,40109,332,332,0,213911.0636,2817257527
486,Loves,OK,Choctaw,Oklahoma,73020,7401 S. Choctaw Rd.,I-40 / 166,35.395799,-97.266195,85,7,N,2.419,2.819,3.119,3.289,N,Y,Y,N,N,N,N,,N,Y,Y,N,Y,Y,"McDonald's,Subway,Salads/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C40109,175227007,97.263761,Relatively High,100,795336,1.28974E+11,24599262,725.694922,40,109,40109,334,334,0,213911.0636,2817257527
429,Loves,TN,Nashville,Davidson,37207,130 W. Trinity Lane,I-65 / 87,36.205575,-86.771637,58,7,N,2.599,3.049,3.399,3.449,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,"Subway,Chicken Drumsticks,Sandwiches",Y,Y,N,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C47037,140873988.5,96.500159,Relatively High,98.947368,715485,1.40299E+11,12743382,530.862492,47,37,47037,353,353,0,259182.6853,2092988933
589,Loves,TX,Lubbock,Lubbock,79403,4221 North Interstate 27,I-27 / 8,33.641593,-101.839031,69,7,N,2.379,2.829,3.179,3.289,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Chester's,Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C48303,114866115,95.736557,Relatively High,93.700787,309719,50066608710,251797379,909.795333,48,303,48303,364,364,0,232339.8139,3372183172
344,Loves,TN,Memphis,Shelby,38118,3371 Lamar Ave.,I-240 / 21 @ Hwy 78,35.075135,-89.95095,51,10,N,2.699,3.149,3.499,3.249,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Subway,Chicken Drumsticks,Salads/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C47157,424458602.4,99.236398,Relatively High,100,929552,1.78714E+11,31469960,788.242696,47,157,47157,392,392,0,288711.133,3032609204
609,Loves,TX,Denton,Denton,76207,6421 N I-35,I-35 / 471/US-77,33.263072,-97.179456,149,9,N,2.799,3.249,3.599,3.299,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Godfather's Pizza,Subway,Wendy's,Chicken Drumsticks,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C48121,246132701.3,98.25008,Relatively High,96.062992,906057,1.58046E+11,141328378,961.26816,48,121,48121,416,416,0,238141.7368,3530233089
299,Loves,TX,Anna,Collin,75409,1701 US Highway 75,Hwy 75 / 48,33.345047,-96.584193,55,5,N,2.799,3.249,3.599,3.189,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,Carl's Jr.,Y,Y,Y,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C48085,425035543,99.268215,Relatively High,99.212598,1063649,1.83768E+11,76652824,894.81205,48,85,48085,419,419,0,233697.0975,3284868689
